Category,Case number,Crime date and time,Report date,Location,Incident Description,Residential occurrence,Disposition
Assault,CSA20181290,09/10/2018 - 6:30pm,09/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181289,09/10/2018 - 12:42pm,09/10/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Drug Violations,CSA20181287,09/10/2018 - 8:00pm,09/10/2018,WOODLAND AVENUE - KIRWAN AREA,REPORTED DRUG VIOLATION - MARIJUANA X3,No,Closed - CSA
Assault,201819909,09/09/2018 - 3:45am,09/09/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ASSAULT - DOMESTIC VIOLENCE,No,Closed
Harassment,20181619,09/09/2018 - 3:05am,09/09/2018,"163 EAST MAXWELL STREET - THETA CHI HOUSE, SIDEWALK",HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed
Harassing Communications,20181621,08/15/2018 - 12:00pm,09/09/2018,1120 UNIVERSITY DRIVE - LEWIS HALL,HARASSING COMMUNICATIONS,Yes,Closed
Criminal Mischief,201819914,09/09/2018 - 4:30am,09/09/2018,CHRYSALIS COURT,THEFT OF CONTENTS FROM MOTOR VEHICLE; CRIMINAL MISCHIEF,No,Closed
Drug Violations,20181620,09/09/2018 - 8:19am,09/09/2018,SOUTH LIMESTONE STREET/VIRGINIA AVENUE,POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE 12ST OFFENSE (COCAINE); POSSESSION OF MARIJUANA; UNAUTHORIZED USE OF MOTOR VEHICLE 1ST OFFENSE,No,Closed
Assault,CSA20181284,09/08/2018 - 11:30pm,09/09/2018,"111 AVENUE OF CHAMPIONS - HOLMES HALL, BIKE RACK",ASSAULT X2; PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Liquor Law Violation,CSA20181283,09/08/2018 - 9:45pm,09/09/2018,325 HUGUELET DRIVE - HAGGIN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X6,Yes,Closed - CSA
Assault,CSA20181269,09/09/2018 - 9:23am,09/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181270,09/09/2018 - 9:47am,09/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181268,09/09/2018 - 4:28am,09/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Assault,CSA20181267,09/09/2018 - 4:06am,09/09/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT; CRIMINAL MISCHIEF,No,Closed - CSA
Theft,20181624,09/09/2018 - 5:45pm,09/09/2018,440 HILLTOP AVENUE,THEFT OF PROPERTY MISLAID OR DELIVER BY MISTAKE,No,Closed
Alcohol Intoxication,20181616,09/08/2018 - 12:32am,09/08/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST & 2ND OFFENSE,No,Citation issued
Liquor Law Violation,CSA20181286,09/08/2018 - 3:15pm,09/08/2018,693 SPORTS CENTER DRIVE - WOODLAND GLEN V,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - CSA
Liquor Law Violation,CSA20181285,09/08/2018 - 6:15pm,09/08/2018,701 SPORTS CENTER DRIVE - BALDWIN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL; THEFT BY UNLAWFUL TAKING,Yes,Closed - CSA
Liquor Law Violation,CSA20181280,09/06/2018 - 10:30pm,09/08/2018,685 SPORTS CENTER DRIVE - WOODLAND GLEN III,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X5,Yes,Closed - CSA
Alcohol Intoxication,CSA20181279,09/08/2018 - 6:00pm,09/08/2018,361 HUGUELET DRIVE - DONOVAN HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Alcohol Intoxication,CSA20181278,09/02/2018 - 3:20pm,09/08/2018,720 WOODLAND AVENUE - CHELLGREN HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Harassment,CSA20181274,09/08/2018 - 11:02pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181273,09/08/2018 - 2:56pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181272,09/08/2018 - 7:54am,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Assault,CSA20181266,09/08/2018 - 7:53pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181265,09/08/2018 - 7:30pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Assault,CSA20181264,09/08/2018 - 12:20pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181263,09/08/2018 - 2:06pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181262,09/08/2018 - 11:39am,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Assault,CSA20181261,09/08/2018 - 8:31am,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT X2,No,Closed - CSA
Harassment,CSA20181260,09/08/2018 - 4:50am,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Assault,CSA20181258,09/07/2018 - 10:18pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181257,09/08/2018 - 8:34pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,CSA20181256,09/07/2018 - 9:14pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Drug Violations,LPD201800000CX90239,09/08/2018 - 9:42am,09/08/2018,303 SOUTH LIMESTONE STREET - SIDEWALK,TRAFFICKING IN SYNTHETIC DRUGS-1ST OFFENSE,No,Closed - CSA
Harassment,20181630,09/08/2018 - 5:57pm,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Open
Harassment,20181737,09/08/2018 - 8:31am,09/08/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed
Criminal Trespass,20181605,09/07/2018 - 2:55am,09/07/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,CRIMINAL TRESPASSING-3RD DEGREE; RECEIVING STOLEN PROPERTY U/$500,No,Cleared By Arrest
Harassment,CSA20181253,09/07/2018 - 6:20am,09/07/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181252,09/07/2018 - 6:20am,09/07/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Assault,CSA20181251,09/07/2018 - 11:30am,09/07/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Drug Violations,201819743,09/07/2018 - 9:50am,09/07/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION CONTROLLED SUBSTANCE - UNKNOWN SUBSTANCE,No,Closed
Theft,20181606,08/30/2018 - 8:00am,09/07/2018,685 SPORTS CENTER DRIVE - WOODLAND GLEN III,THEFT OF MAIL MATTER,Yes,Open
Sex Offenses,20181607,08/27/2018 - 8:00am,09/07/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,"RAPE, 1ST DEGREE",No,Unfounded
Theft,20181608,09/07/2018 - 9:40am,09/07/2018,"236 BOLIVAR STREET - ART AND VISUAL STUDIES BUILDING, BIKE RACK",THEFT BY UNLAWFUL TAKING BICYCLES U/$500,No,Closed
Theft,20181609,09/06/2018 - 5:00pm,09/07/2018,800 ROSE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FORM BUILDING U/$500,No,Closed
Criminal Mischief,20181611,09/07/2018 - 2:37am,09/07/2018,206 EAST MAXWELL STREET - KY HUMANITIES COUNIL,CRIMINAL MISCHIEF 3RD DEGREE,No,Open
Theft,20181614,09/07/2018 - 1:40pm,09/07/2018,160 AVENUE OF CHAMPIONS - STUDENT CENTER,"THEFT BY UNLAWFUL TAKING ALL OTHERS $500 OR MORE BUT U/$10,000",No,Open
Theft,20181617,09/07/2018 - 6:30pm,09/07/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JOE CRAFT PARKING LOT,"THEFT BY UNLAWFUL TAKING AUTO - $10,000 OR MORE BUT U/$1,000,000",No,Open
Theft,20181610,08/29/2018 - 4:00pm,09/07/2018,800 ROSE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Theft,20181613,09/07/2018 - 1:30pm,09/07/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING ALL OTHERS U/$500,No,Open
Liquor Law Violation,CSA20181282,09/02/2018 - 10:00pm,09/07/2018,720 WOODLAND AVENUE - CHELLGREN HALL,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL,Yes,Closed - CSA
Liquor Law Violation,CSA20181281,09/06/2018 - 10:00pm,09/07/2018,650 WOODLAND AVENUE - WOODLAND GLEN II,PERSON 18-20 POSSESSION/PURCHASE/ATTEMPT TO PURCHASE/HAVE ANOTHER PURCHASE ALCOHOL X3,Yes,Closed - CSA
Alcohol Intoxication,CSA20181277,09/07/2018 - 12:00am,09/07/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Assault,CSA20181259,09/07/2018 - 11:47pm,09/07/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Criminal Mischief,20181628,09/07/2018 - 5:00pm,09/07/2018,1530 COLLEGE WAY - MEDICAL CENTER STORAGE,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Drug Violations,LPD201800000N774032,09/07/2018 - 10:13pm,09/07/2018,AREA OF CHRYSALIS COURT/SOUTH LIMESTONE STREET,POSSESSION OF SYNTHETIC DRUGS; PUBLIC INTOXICATION CONTROLLED SUBSTANCE (EXCLUDES ALCOHOL),No,Closed - Lexington Police Report
Harassment,201819668,09/06/2018 - 3:50am,09/06/2018,329 SOUTH MARTIN LUTHER KING BOULEVARD - BOYD HALL,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed
Harassment,CSA20181242,09/06/2018 - 4:15am,09/06/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,201819689,09/06/2018 - 1:45pm,09/06/2018,456 ROSE LANE - FARMHOUSE FRATERNITY,HARASSMENT-NO PHYSICAL CONTACT,Yes,Closed
Theft,20181600,09/06/2018 - 5:30am,09/06/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Open
Theft,20181601,09/03/2018 - 3:00pm,09/06/2018,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,Yes,
Criminal Mischief,20181602,09/06/2018 - 7:10pm,09/06/2018,740 SOUTH LIMESTONE - KY CLINIC,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Drug Violations,20181604,09/06/2018 - 11:04pm,09/06/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION CONTROLLED SUBSTANCE 3RD DEGREE DRUG UNSPECIFIED; POSSESSION CONTROLLED SUBSTANCE 1ST DEGREE 1ST OFFENSE (OPIATES); DRUG PARAPHERNALIA-BUY/POSSESS,No,Citation issued
Harassment,CSA20181250,09/06/2018 - 8:02pm,09/06/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Liquor Law Violation,CSA20181249,09/06/2018 - 10:00pm,09/06/2018,361 HUGUELET DRIVE - DONOVAN HALL,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA
Sex Offenses,CSA20181248,06/28/2018 - 12:00am,09/06/2018,ON CAMPUS - RESIDENCE HALL,RAPE,Yes,Closed - CSA
Terroristic Threatening,CSA20181247,09/06/2018 - 1:18pm,09/06/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,TERRORISTIC THREATENING; ASSAULT,No,Closed - CSA
Criminal Trespass,CSA20171935,09/23/2018 - 1:33pm,09/05/2018,369 WEST VINE STREET - HILTON DOWNTOWN (NON-CAMPUS LOCATION DUE TO ATHLETICS STAY),CRIMINAL TRESPASSING 3RD DEGREE,No,Closed - Lexington Police Report
Harassment,CSA20181241,09/05/2018 - 9:00pm,09/05/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassment,20181596,09/05/2018 - 7:00am,09/05/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Open
Harassment,201819608,09/05/2018 - 11:01am,09/05/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed
Criminal Trespass,20181593,09/05/2018 - 10:52am,09/05/2018,"326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER, OUTSIDE",CRIMINAL TRESPASSING 3RD DEGREE,No,Cleared By Arrest
Theft,LPD201800172158,09/04/2018 - 11:00pm,09/05/2018,110 TRANSCRIPT AVENUE - PARKING STRUCTURE #8,THEFT OF MOTOR VEHICLE REGISTRATION PLATE,No,Closed - Lexington Police Report
Assault,CSA20181246,09/05/2018 - 5:56pm,09/05/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181245,09/05/2018 - 12:00am,09/05/2018,701 SPORTS CENTER DRIVE - BALDWIN HALL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,Yes,Closed - CSA
Liquor Law Violation,CSA20181244,09/05/2018 - 12:17pm,09/05/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL x4,Yes,Closed - CSA
Alcohol Intoxication,CSA20181243,09/05/2018 - 10:30pm,09/05/2018,340 HILLTOP AVENUE - JOHNSON HALL,ALCOHOL INTOXICATION,Yes,Closed - CSA
Theft,20181925,09/05/2018 - 8:00am,09/05/2018,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,THEFT BY UNLAWFUL TAKING - ALL OTHERS UNDER $500,Yes,Open
DUI,20181585,09/04/2018 - 2:25am,09/04/2018,SOUTH LIMESTONE STREET PRIOR TO AVENUE OF CHAMPIONS,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC..08-2ND OFFENSE; CARELESS DRIVING,No,Cleared By Arrest
Alcohol Intoxication,20181584,09/04/2018 - 12:50am,09/04/2018,125 AVENUE OF CHAMPIONS - SIDEWALK IN FRONT OF ROSELLE HALL,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Harassment,CSA20181233,09/04/2018 - 11:30pm,09/04/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Harassing Communications,201819570,09/04/2018 - 8:35pm,09/04/2018,330 ROSE STREET,HARASSING COMMUNICATIONS,No,Closed
Theft,20181587,08/31/2018 - 3:45pm,09/04/2018,1529 COLLEGE WAY - ALTERNATE HELIPAD STORAGE FACILITY,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open
Theft,20181590,09/04/2018 - 3:45pm,09/04/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Drug Violations,20181591,09/04/2018 - 6:33pm,09/04/2018,754 WOODLAND AVENUE - OUTSIDE KIRWIN III,DRUG PARAPHERNALIA-BUY/POSSESS; POSS OF MARIJUANA,No,Closed
Harassment,CSA20181240,09/04/2018 - 2:21pm,09/04/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20181239,09/04/2018 - 7:56pm,09/04/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Theft,CSA20181238,09/04/2018 - 10:45am,09/04/2018,"111 AVENUE OF CHAMPIONS - HOLMES HALL, BIKE RACK",THEFT BY UNLAWFUL TAKING - BICYCLE,No,Closed - CSA
Drug Violations,20181575,09/03/2018 - 1:07am,09/03/2018,AVENUE OF CHAMPIONS/LEXINGTON AVENUE,POSSESSION OF MARIJUANA,No,Citation issued
DUI,20181576,09/03/2018 - 2:58am,09/03/2018,EAST MAXWELL STREET BETWEEN SOUTH MARTIN LUTHER KING BOULEVARD AND LEXINGTON AVENUE,OPERATE MOTOR VEHICLE UNDER INFLUENCE ALCOHOL/DRUGS/ETC...08 1ST OFFENSE; NO REGISTRATION PLATES,No,Cleared By Arrest
Drug Violations,20181577,09/03/2018 - 3:05am,09/03/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,POSSESSION OF MARIJUANA; DRUG PARAPHERNALIA-BUY/POSSESS,Yes,Closed
Terroristic Threatening,20181578,08/31/2018 - 11:00am,09/03/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"TERRORISTIC THREATENING, 3RD DEGREE",No,Unfounded
Assault,20181579,09/03/2018 - 11:15am,09/03/2018,1590 BULL LEA ROAD - EASTERN STATE HOSPITAL,"ASSAULT, 4TH DEGREE NO VISIBLE INJURY",No,Closed
Drug Violations,201819457,09/03/2018 - 4:00pm,09/03/2018,325 HUGUELET DRIVE - HAGGIN HALL,DRUG VIOLATION ALLEGATION - MARIJUANA,Yes,Closed
Drug Violations,20181580,09/03/2018 - 4:16pm,09/03/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,DRUG PARAPHERNALIA - BUY/POSSESS; POSSESSION CONTROLLED SUBSTANCE 3RD DEGREE - DRUG UNSPECIFIED,No,Closed
Criminal Mischief,CSA20181236,09/03/2018 - 2:15am,09/03/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Harassment,CSA20181232,09/03/2018 - 8:20pm,09/03/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Liquor Law Violation,CSA20181221,09/03/2018 - 12:15pm,09/03/2018,111 AVENUE OF CHAMPIONS - HOLMES HALL,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL x9,Yes,Closed - CSA
Alcohol Intoxication,CSA20181219,09/02/2018 - 2:30am,09/03/2018,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,ALCOHOL INTOXICATION,Yes,Closed - CSA
Drug Violations,CSA20181218,09/03/2018 - 2:00am,09/03/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,DRUG VIOLATION ALLEGATION - MARIJUANA & DRUG PARAPHERNALIA X5; ALCOHOL INTOXICATION X2,Yes,Closed - CSA
Theft,20181640,09/03/2018 - 8:00am,09/03/2018,326 SOUTH MARTIN LUTHER KING BOULEVARD - BLAZER,THEFT OF MAIL MATTER,Yes,Open
Assault,20181571,09/02/2018 - 1:10pm,09/02/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Closed
Drug Violations,20181572,09/02/2018 - 3:00pm,09/02/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,PRESCRIPTION CONTROLLED SUBSTANCE NO PROPER CONTAINER 1ST OFFENSE,No,Closed
Assault,20181569A,09/02/2018 - 2:00am,09/02/2018,720 WOODLAND AVENUE - CHELLGREN HALL,"ASSAULT, 4TH DEGREE MINOR INJURY",Yes,Citation issued
Harassment,20181569B,09/02/2018 - 2:00am,09/02/2018,720 WOODLAND AVENUE - CHELLGREN HALL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Yes,Open
Criminal Mischief,CSA20181237,09/01/2018 - 11:00pm,09/02/2018,344 SOUTH MARTIN LUTHER KING BOULEVARD - JEWELL HALL,CRIMINAL MISCHIEF,Yes,Closed - CSA
Criminal Mischief,CSA20181235,09/02/2018 - 11:33pm,09/02/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Criminal Mischief,CSA20181234,09/02/2018 - 11:04pm,09/02/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,CRIMINAL MISCHIEF,No,Closed - CSA
Assault,CSA20181231,09/02/2018 - 6:34pm,09/02/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,ASSAULT,No,Closed - CSA
Harassment,CSA20181227,09/02/2018 - 2:44am,09/02/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT; INDECENT EXPOSURE,No,Closed - CSA
Liquor Law Violation,CSA20181222,09/02/2018 - 2:00am,09/02/2018,720 WOODLAND AVENUE - CHELLGREN HALL,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Yes,Closed - CSA
Theft,20181594,09/02/2018 - 6:00am,09/02/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,"THEFT BY UNLAWFUL TAKING FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open
Harassment,20181560,09/01/2018 - 1:48am,09/01/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,HARASSMENT - NO PHYSICAL CONTACT,No,Closed
Drug Violations,201819266,09/01/2018 - 10:05am,09/01/2018,1000 SOUTH LIMESTONE STREET - CHANDLER HOSPITAL,POSSESSION OF MARIJUANA,No,Closed
Drug Violations,201819269,09/01/2018 - 10:43am,09/01/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,POSSESSION OF CONTROLLED SUBSTANCE (SUBSTANCE UNKNOWN),No,Closed
Criminal Trespass,20181563,09/01/2018 - 4:01pm,09/01/2018,"1160 UNIVERSITY DRIVE - UNIVERSITY FLATS, OUTSIDE",CRIMINAL TRESPASSING 3RD DEGREE,No,Open
Assault,20181564,09/01/2018 - 7:25pm,09/01/2018,1540 UNIVERSITY DRIVE - ORANGE LOT,"ASSAULT, 4TH DEGREE DOMESTIC VIOLENCE MINOR INJURY",No,Citation issued
Assault,20181564B,09/01/2018 - 7:39pm,09/01/2018,1540 UNIVERSITY DRIVE - ORANGE LOT,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Citation issued
Assault,20181564C,09/01/2018 - 7:40pm,09/01/2018,1540 UNIVERSITY DRIVE - ORANGE LOT,"ASSAULT, 4TH DEGREE MINOR INJURY",No,Citation issued
Harassment,20181565,09/01/2018 - 3:33pm,09/01/2018,1540 UNIVERSITY DRIVE - KROGER FIELD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
Public Intoxication,20181567,09/01/2018 - 10:25pm,09/01/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,PUBLIC INTOXICATION - CONTROL SUBSTANCE (EXCLUDES ALCOHOL),No,Closed
Harassment,CSA20181230,09/01/2018 - 11:40am,09/01/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20181226,09/01/2018 - 2:35am,09/01/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Harassment,CSA20181225,09/01/2018 - 10:54pm,09/01/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-NO PHYSICAL CONTACT,No,Closed - CSA
Alcohol Intoxication,CSA20181223,09/01/2018 - 9:00pm,09/01/2018,720 WOODLAND AVENUE - CHELLGREN HALL,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X4,Yes,Closed - CSA
Harassing Communications,CSA20181220,08/31/2018 - 5:30pm,09/01/2018,101 SLOAN BUILDING  - DEPT OF EARTH AND ENVIRONMENTAL SCIENCES,HARASSMENT COMMUNICATIONS,No,Closed - CSA
Criminal Mischief,20181595,09/01/2018 - 8:00pm,09/01/2018,1540 UNIVERSITY DRIVE - RED LOT,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed
Theft,20181599,09/01/2018 - 8:00am,09/01/2018,635 SOUTH LIMESTONE STREET - MANDRELL HALL,THEFT BY UNLAWFUL TAKING FROM BUILDING U/$500,No,Closed
Alcohol Intoxication,LPD201800169466,09/01/2018 - 3:57pm,09/01/2018,1540 UNIVERSITY DRIVE,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST & 2ND OFFENSE,No,Closed - Lexington Police Report
Alcohol Intoxication,20181555,08/31/2018 - 3:37pm,08/31/2018,391 ROSE STREET - BURGER FI,ALCOHOL INTOXICATION IN A PUBLIC PLACE 1ST AND 2ND OFFENSE,No,Cleared By Arrest
Assault,20181556,08/31/2018 - 7:00pm,08/31/2018,310 SOUTH LIMESTONE STREET - GOOD SAMARITAN HOSPITAL,"ASSAULT 3RD DEGREE (EMS, FIRE, RESCUE SQUAD)",No,Citation issued
Harassment,CSA20181229,08/31/2018 - 6:33pm,08/31/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA
Harassment,CSA20181228,08/31/2018 - 5:39pm,08/31/2018,1350 BULL LEA ROAD - EASTERN STATE HOSPITAL,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA
